date,general,sales_inquiry,gate_code,account_balance,billing,account_changes,customer_support,physical_issue,wants_human,spam,other,ignore,total
2026-03-24,0,5,0,1,5,5,3,2,1,0,3,12,37
2026-03-25,1,5,0,0,2,5,1,2,2,0,3,4,25
2026-03-26,0,15,2,0,8,9,5,0,5,0,0,11,55
2026-03-27,0,8,5,0,5,9,10,3,1,0,2,16,59
2026-03-28,1,7,6,0,2,1,6,7,1,0,0,13,44
2026-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-30,1,21,5,0,5,23,11,4,6,0,3,48,127
2026-03-31,1,16,14,4,5,14,15,8,9,0,5,37,128
2026-04-01,0,18,7,1,9,10,15,7,11,0,2,36,116
2026-04-02,1,17,6,1,12,6,10,5,5,0,2,35,100
2026-04-03,0,5,5,0,5,6,5,2,2,1,2,19,52
2026-04-04,0,6,3,0,0,4,7,2,0,0,2,7,31
2026-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-06,2,3,2,0,1,2,4,3,1,0,2,11,31
2026-04-07,1,12,5,2,12,9,5,1,4,0,11,27,89
2026-04-08,1,7,4,3,5,5,4,2,6,0,2,16,55
2026-04-09,0,11,1,0,2,6,4,1,4,0,1,12,42
2026-04-10,0,6,6,1,5,3,3,0,3,0,0,12,39
2026-04-11,0,10,2,1,1,3,3,0,4,0,0,16,40
2026-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-13,2,19,4,4,7,5,6,2,11,0,6,26,92
2026-04-14,0,15,1,1,6,9,4,5,5,0,1,11,58
2026-04-15,1,10,5,0,4,11,4,3,1,0,2,21,62
2026-04-16,0,10,3,0,0,7,5,0,2,0,1,15,43
2026-04-17,1,6,1,0,4,4,2,3,8,0,0,17,46
2026-04-18,0,4,1,0,0,1,0,0,0,0,0,1,7
2026-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-20,1,2,0,0,2,3,4,3,2,0,2,4,23
2026-04-21,1,6,1,1,3,1,5,0,4,0,0,15,37
2026-04-22,0,4,3,1,5,3,3,1,1,0,1,6,28
2026-04-23,0,4,0,0,3,3,6,2,1,0,2,11,32
