Site Name,May-26,Jun-26,Jul-26,Aug-26
Amsterdam,0.00 %,97.30 %,98.55 %,98.51 %
Alkmaar,0.00 %,100.00 %,97.47 %,100.00 %
Venlo,0.00 %,90.91 %,90.80 %,94.19 %
Boxtel,100.00 %,88.64 %,100.00 %,0.00 %
Breda,94.51 %,95.45 %,92.22 %,0.00 %
Eindhoven Best,100.00 %,89.89 %,100.00 %,0.00 %
Heerlen,95.70 %,93.10 %,97.22 %,93.02 %
Heerlen-Heerlerbaan,89.13 %,93.98 %,97.59 %,87.36 %
Helmond,83.16 %,80.00 %,89.41 %,0.00 %
Helmond Kanaaldijk,87.37 %,83.53 %,98.68 %,0.00 %
Nijmegen-Wijchen,97.30 %,97.53 %,90.91 %,0.00 %
Sittard,95.60 %,89.66 %,91.95 %,94.19 %
The Hague,100.00 %,98.48 %,97.33 %,0.00 %
Tilburg,88.78 %,93.26 %,86.36 %,0.00 %
Utrecht,96.70 %,88.64 %,88.89 %,98.82 %
Almere,0.00 %,98.75 %,93.75 %,92.68 %
Alphen aan den Rijn,0.00 %,98.73 %,100.00 %,100.00 %
Barendrecht,0.00 %,97.75 %,96.70 %,0.00 %
Bergen op Zoom,0.00 %,97.44 %,0.00 %,0.00 %
Den Bosch,0.00 %,92.86 %,97.40 %,0.00 %
Goes,0.00 %,100.00 %,0.00 %,0.00 %
Hellevoetsluis,0.00 %,96.55 %,96.59 %,0.00 %
Lelystad,0.00 %,97.59 %,97.80 %,98.85 %
Rijswijk,0.00 %,98.80 %,97.80 %,97.33 %
Roermond,0.00 %,93.98 %,97.37 %,91.67 %
Rotterdam Centrum,0.00 %,93.75 %,96.25 %,0.00 %
Rotterdam Zuid,0.00 %,82.28 %,0.00 %,0.00 %
Schiedam,0.00 %,97.33 %,97.50 %,0.00 %
