date,Boxtel,Rijswijk,Groningen,Venlo,Roermond,Sittard,Heerlen,Bergen op Zoom,Goes,Hellevoetsluis,Tilburg,Breda,Den Haag,Utrecht,Barendrecht,Helmond,Heerlen Heerlerbaan,Rotterdam Centrum,Schiedam,Rotterdam Zuid,Alphen aan den Rijn,Alkmaar,Amsterdam,Almere,Helmond kanaaldijk,Lelystad,Eindhoven Best,Den Bosch,Nijmegen Wijchen,total
2026-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-13,0,5,1,0,0,2,0,0,2,0,3,3,2,1,0,0,2,5,0,1,2,0,2,0,1,2,0,2,1,37
2026-04-14,1,1,0,1,0,0,1,0,1,1,1,2,5,2,1,0,0,4,2,2,2,0,1,2,0,1,0,1,1,33
2026-04-15,0,3,0,0,0,1,0,0,0,2,0,1,1,2,1,1,0,2,1,2,2,1,2,0,0,0,0,4,2,28
2026-04-16,0,0,3,0,0,1,0,1,0,0,2,1,1,3,1,0,0,3,0,1,1,0,1,1,1,0,0,0,1,22
2026-04-17,1,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,1,0,7,0,2,3,0,0,0,22
2026-04-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-20,0,0,0,1,0,1,0,0,0,0,1,2,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,11
2026-04-21,0,1,1,0,0,0,1,1,0,2,0,0,1,0,3,0,0,3,0,1,0,1,0,1,0,0,1,0,1,18
2026-04-22,0,2,1,0,0,1,0,0,0,1,1,1,3,0,0,0,0,3,2,0,3,1,2,0,0,0,0,0,0,21
2026-04-23,0,0,0,1,0,0,1,1,0,0,0,2,0,3,0,1,1,0,2,1,1,0,1,0,1,0,1,0,0,17
2026-04-24,0,2,1,0,0,0,1,0,0,0,0,0,2,2,2,0,0,3,1,2,0,1,3,0,1,4,0,1,1,27
2026-04-25,0,3,0,1,0,0,1,0,2,0,0,2,1,2,3,0,2,0,0,2,0,4,0,2,0,1,2,0,0,28
2026-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-27,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,2,0,0,5,0,1,0,2,0,0,18
2026-04-28,1,1,1,0,0,0,6,8,1,5,2,4,6,5,5,6,0,3,7,9,0,0,6,2,0,4,2,3,1,88
2026-04-29,0,3,2,0,7,0,3,0,0,2,2,3,1,6,2,2,0,4,3,5,0,4,6,3,1,2,1,1,0,63
2026-04-30,0,0,6,0,1,3,1,0,0,2,5,1,2,0,2,0,0,6,3,2,0,0,8,1,0,4,1,1,1,50
2026-05-01,3,0,1,0,0,1,0,0,0,0,0,2,2,2,1,1,2,3,2,10,1,0,0,0,0,0,1,0,0,32
2026-05-02,0,5,0,1,2,1,0,0,0,0,2,0,0,1,1,0,0,2,0,1,3,0,0,2,0,0,0,0,0,21
2026-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-04,0,3,0,1,0,0,1,1,1,0,1,1,2,1,1,4,0,6,1,1,1,3,0,1,1,5,1,0,0,37
2026-05-05,0,0,0,0,0,0,2,0,0,1,3,0,1,1,5,0,1,0,0,1,0,2,0,1,6,0,0,0,0,24
2026-05-06,0,5,0,0,0,1,0,0,0,1,4,1,2,3,0,2,0,0,1,0,0,2,3,5,0,1,0,0,0,31
2026-05-07,0,3,4,0,1,3,0,0,0,0,2,1,6,4,0,1,0,1,0,1,0,0,0,3,1,1,0,0,0,32
2026-05-08,0,1,0,0,0,0,0,0,0,3,3,4,2,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,18
2026-05-09,0,0,0,0,1,2,0,0,0,0,2,0,1,1,1,2,0,1,1,1,0,0,0,2,2,2,1,0,0,20
2026-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-11,0,5,0,2,0,1,1,0,1,6,5,2,8,3,6,2,4,0,4,5,1,3,0,5,2,3,0,1,1,71
2026-05-12,1,2,0,1,0,1,0,0,0,1,3,2,5,4,2,2,0,2,3,2,0,1,1,0,0,1,0,0,0,34
2026-05-13,0,0,2,0,0,0,0,0,1,1,5,1,2,4,7,0,1,4,1,1,0,3,0,2,0,0,0,0,0,35
