date,general,sales_inquiry,gate_code,account_balance,billing,account_changes,customer_support,physical_issue,wants_human,spam,other,ignore,total
2026-03-12,0,20,12,1,8,13,16,10,12,0,6,70,168
2026-03-13,0,10,10,1,9,4,10,3,6,2,5,30,90
2026-03-14,0,7,2,0,3,4,5,3,2,0,0,13,39
2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-16,1,7,0,0,0,4,9,1,4,0,4,7,37
2026-03-17,0,10,1,0,1,3,3,0,1,0,0,8,27
2026-03-18,0,14,2,2,4,6,5,2,3,0,3,15,56
2026-03-19,1,10,1,0,6,5,5,6,3,0,5,35,77
2026-03-20,0,6,5,1,2,5,4,1,1,0,1,13,39
2026-03-21,0,10,2,0,1,1,7,3,4,0,3,15,46
2026-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-23,0,14,2,0,4,3,6,0,1,0,0,10,40
2026-03-24,0,5,0,1,5,5,3,2,1,0,3,12,37
2026-03-25,1,5,0,0,2,5,1,2,2,0,3,4,25
2026-03-26,0,15,2,0,8,9,5,0,5,0,0,11,55
2026-03-27,0,8,5,0,5,9,10,3,1,0,2,16,59
2026-03-28,1,7,6,0,2,1,6,7,1,0,0,13,44
2026-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-30,1,21,5,0,5,23,11,4,6,0,3,48,127
2026-03-31,1,16,14,4,5,14,15,8,9,0,5,37,128
2026-04-01,0,18,7,1,9,10,15,7,11,0,2,36,116
2026-04-02,1,17,6,1,12,6,10,5,5,0,2,35,100
2026-04-03,0,5,5,0,5,6,5,2,2,1,2,19,52
2026-04-04,0,6,3,0,0,4,7,2,0,0,2,7,31
2026-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-06,2,3,2,0,1,2,4,3,1,0,2,11,31
2026-04-07,1,12,5,2,12,9,5,1,4,0,11,27,89
2026-04-08,1,7,4,3,5,5,4,2,6,0,2,16,55
2026-04-09,0,11,1,0,2,6,4,1,4,0,1,12,42
2026-04-10,0,6,6,1,5,3,3,0,3,0,0,12,39
2026-04-11,0,10,2,1,1,3,3,0,4,0,0,16,40
2026-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-13,2,19,4,4,7,5,6,2,11,0,6,26,92
2026-04-14,0,15,1,1,6,9,4,5,5,0,1,11,58
2026-04-15,1,10,5,0,4,11,4,3,1,0,2,21,62
2026-04-16,0,10,3,0,0,7,5,0,2,0,1,15,43
2026-04-17,1,6,1,0,4,4,2,3,8,0,0,17,46
2026-04-18,0,4,1,0,0,1,0,0,0,0,0,1,7
2026-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-20,1,2,0,0,2,3,4,3,2,0,2,4,23
2026-04-21,1,6,1,1,3,1,5,0,4,0,0,15,37
2026-04-22,0,4,3,1,5,3,3,1,1,0,1,6,28
2026-04-23,0,5,0,0,3,3,6,2,1,0,2,11,33
2026-04-24,0,14,3,0,7,4,5,3,3,0,1,12,52
2026-04-25,1,10,2,1,6,4,3,7,3,0,2,14,53
2026-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-27,0,2,5,0,5,3,0,5,2,0,0,6,28
2026-04-28,1,28,11,0,10,19,20,2,15,0,4,43,153
2026-04-29,2,23,4,1,7,15,7,5,17,0,7,34,122
2026-04-30,4,19,5,2,6,9,6,2,15,0,3,31,102
2026-05-01,1,1,3,0,4,5,4,6,2,0,1,78,105
2026-05-02,0,9,1,0,5,3,5,3,6,0,0,10,42
2026-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-04,0,17,2,1,5,9,8,1,5,0,2,19,69
2026-05-05,1,10,2,0,1,9,5,0,4,0,0,7,39
2026-05-06,0,15,6,0,1,9,5,0,2,0,3,22,63
2026-05-07,1,4,2,0,11,5,4,2,5,0,1,11,46
2026-05-08,0,6,1,0,4,6,4,0,1,0,0,15,37
2026-05-09,0,7,6,0,0,7,4,0,3,0,0,10,37
2026-05-10,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-05-11,0,18,10,3,10,18,11,5,8,0,4,53,140
2026-05-12,1,13,5,1,9,8,5,4,2,0,4,29,81
2026-05-13,0,12,5,1,3,4,4,2,5,1,2,14,53
2026-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0
