date,Boxtel,Rijswijk,Groningen,Venlo,Roermond,Sittard,Heerlen,Bergen op Zoom,Goes,Hellevoetsluis,Tilburg,Breda,Den Haag,Utrecht,Barendrecht,Helmond,Heerlen Heerlerbaan,Rotterdam Centrum,Schiedam,Rotterdam Zuid,Alphen aan den Rijn,Alkmaar,Amsterdam,Almere,Helmond kanaaldijk,Lelystad,Eindhoven Best,Den Bosch,Nijmegen Wijchen,Company,total
4/1/2026,0,5,6,4,0,3,1,0,0,4,17,2,13,6,1,2,0,5,14,2,0,0,1,0,4,4,0,4,4,16,118
4/2/2026,0,2,5,2,0,1,2,0,0,2,7,7,6,12,5,3,0,7,11,1,5,2,2,1,1,0,1,6,0,10,101
4/3/2026,0,0,1,1,0,0,0,2,0,1,5,2,7,4,7,1,1,3,8,1,1,0,3,0,0,1,0,1,0,4,54
4/4/2026,0,1,0,0,0,0,0,0,0,0,1,1,5,1,3,0,0,6,6,4,0,0,0,0,0,0,0,0,0,5,33
4/5/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/6/2026,0,0,2,0,0,0,1,0,0,0,1,0,4,1,1,0,0,2,3,5,0,0,4,0,1,0,0,0,0,6,31
4/7/2026,2,1,1,0,2,4,2,0,2,3,3,5,4,8,2,7,1,9,3,7,0,0,5,0,1,1,1,3,2,13,92
4/8/2026,0,3,2,0,1,4,0,0,0,0,3,0,3,0,4,2,1,4,1,5,2,0,2,0,0,2,1,3,2,10,55
4/9/2026,1,1,0,1,0,1,1,0,0,6,3,1,4,2,1,0,1,4,1,4,0,3,3,0,0,0,0,3,0,4,45
4/10/2026,0,6,1,0,0,0,1,0,0,0,4,0,3,4,2,0,0,3,1,3,2,1,1,0,1,0,0,3,0,3,39
4/11/2026,0,1,0,2,2,5,1,1,3,0,6,3,2,2,0,0,0,4,1,3,0,0,0,0,0,1,0,2,0,3,42
4/12/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/13/2026,0,6,5,0,0,2,1,0,3,0,9,4,1,4,3,0,2,17,2,1,5,0,3,1,4,0,1,2,2,16,94
4/14/2026,3,1,0,4,1,0,2,0,1,1,3,1,3,3,0,1,0,6,1,1,2,0,5,2,0,2,0,1,2,14,60
4/15/2026,0,5,1,0,1,6,0,0,1,2,1,3,7,6,2,0,0,7,1,3,2,1,7,0,0,0,0,3,0,4,63
4/16/2026,0,0,3,0,0,1,0,0,0,1,5,1,1,6,1,4,0,6,0,3,2,0,3,1,1,0,0,0,1,4,44
4/17/2026,2,0,2,0,2,3,0,0,0,1,4,0,4,0,1,0,2,5,0,3,1,0,6,0,1,3,0,0,0,7,47
4/18/2026,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,7
4/19/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/20/2026,0,0,1,1,0,1,0,0,0,0,2,1,0,2,1,0,0,1,2,4,2,0,4,1,0,0,0,0,0,1,24
4/21/2026,0,1,0,0,0,1,4,1,0,1,0,1,4,0,2,0,0,7,4,3,0,1,2,0,0,0,0,0,1,6,39
4/22/2026,0,1,1,0,0,1,1,0,0,1,2,1,4,0,0,0,0,5,2,1,2,1,2,0,0,0,0,0,0,4,29
4/23/2026,0,0,0,1,1,2,1,1,0,2,0,1,1,4,0,2,1,2,0,0,2,1,2,0,1,0,0,1,0,7,33
4/24/2026,0,2,6,0,0,1,1,0,0,1,1,2,3,5,2,0,0,4,3,2,1,1,2,0,1,4,0,2,1,12,57
4/25/2026,0,3,0,1,1,2,2,0,1,0,0,5,2,2,3,1,1,2,2,3,0,0,0,1,0,5,3,0,1,16,57
4/26/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/27/2026,0,1,1,0,0,0,0,0,1,0,1,0,3,1,5,1,0,0,0,1,0,0,2,0,2,0,2,1,0,6,28
4/28/2026,3,3,1,0,0,0,10,6,2,5,2,1,6,8,3,10,0,7,9,14,0,0,10,3,2,4,4,11,1,30,155
4/29/2026,0,3,2,0,1,7,5,0,1,3,5,3,4,10,5,6,1,3,9,5,2,7,5,3,2,2,1,5,0,24,124
4/30/2026,0,2,11,0,1,2,1,0,0,3,11,2,5,2,4,3,1,8,2,4,0,1,5,1,0,4,2,3,2,25,105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTALS,11,48,53,17,13,47,37,11,15,37,96,47,100,93,59,44,12,129,86,83,31,19,79,14,22,33,16,54,19,251,1576
