date,Boxtel,Rijswijk,Groningen,Venlo,Roermond,Sittard,Heerlen,Bergen op Zoom,Goes,Hellevoetsluis,Tilburg,Breda,Den Haag,Utrecht,Barendrecht,Helmond,Heerlen Heerlerbaan,Rotterdam Centrum,Schiedam,Rotterdam Zuid,Alphen aan den Rijn,Alkmaar,Amsterdam,Almere,Helmond kanaaldijk,Lelystad,Eindhoven Best,Den Bosch,Nijmegen Wijchen,total
4/12/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/13/2026,0,5,1,0,0,2,0,0,2,0,3,3,2,1,0,0,2,5,0,1,2,0,2,0,1,2,0,2,1,37
4/14/2026,1,1,0,1,0,0,1,0,1,1,1,2,5,2,1,0,0,4,2,2,2,0,1,2,0,1,0,1,1,33
4/15/2026,0,3,0,0,0,1,0,0,0,2,0,1,1,2,1,1,0,2,1,2,2,1,2,0,0,0,0,4,2,28
4/16/2026,0,0,3,0,0,1,0,1,0,0,2,1,1,3,1,0,0,3,0,1,1,0,1,1,1,0,0,0,1,22
4/17/2026,1,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,1,0,7,0,2,3,0,0,0,22
4/18/2026,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4/19/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/20/2026,0,0,0,1,0,1,0,0,0,0,1,2,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,11
4/21/2026,0,1,1,0,0,0,1,1,0,2,0,0,1,0,3,0,0,3,0,1,0,1,0,1,0,0,1,0,1,18
4/22/2026,0,2,1,0,0,1,0,0,0,1,1,1,3,0,0,0,0,3,2,0,3,1,2,0,0,0,0,0,0,21
4/23/2026,0,0,0,1,0,0,1,1,0,0,0,2,0,3,0,1,1,0,2,1,1,0,1,0,1,0,1,0,0,17
4/24/2026,0,2,1,0,0,0,1,0,0,0,0,0,2,2,2,0,0,3,1,2,0,1,3,0,1,4,0,1,1,27
4/25/2026,0,3,0,1,0,0,1,0,2,0,0,2,1,2,3,0,2,0,0,2,0,4,0,2,0,1,2,0,0,28
4/26/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/27/2026,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,2,0,0,5,0,1,0,2,0,0,18
4/28/2026,1,1,1,0,0,0,6,8,1,5,2,4,6,5,5,6,0,3,7,9,0,0,6,2,0,4,2,3,1,88
4/29/2026,0,3,2,0,7,0,3,0,0,2,2,3,1,6,2,2,0,4,3,5,0,4,6,3,1,2,1,1,0,63
4/30/2026,0,0,6,0,1,3,1,0,0,2,5,1,2,0,2,0,0,6,3,2,0,0,8,1,0,4,1,1,1,50
5/1/2026,3,0,1,0,0,1,0,0,0,0,0,2,2,2,1,1,2,3,2,10,1,0,0,0,0,0,1,0,0,32
5/2/2026,0,5,0,1,2,1,0,0,0,0,2,0,0,1,1,0,0,2,0,1,3,0,0,2,0,0,0,0,0,21
5/3/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/2026,0,3,0,1,0,0,1,1,1,0,1,1,2,1,1,4,0,6,1,1,1,3,0,1,1,5,1,0,0,37
5/5/2026,0,0,0,0,0,0,2,0,0,1,3,0,1,1,5,0,1,0,0,1,0,2,0,1,6,0,0,0,0,24
5/6/2026,0,5,0,0,0,1,0,0,0,1,4,1,2,3,0,2,0,0,1,0,0,2,3,5,0,1,0,0,0,31
5/7/2026,0,3,4,0,1,3,0,0,0,0,2,1,6,4,0,1,0,1,0,1,0,0,0,3,1,1,0,0,0,32
5/8/2026,0,1,0,0,0,0,0,0,0,3,3,4,2,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,18
5/9/2026,0,0,0,0,1,2,0,0,0,0,2,0,1,1,1,2,0,1,1,1,0,0,0,2,2,2,1,0,0,20
5/10/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/2026,0,5,0,2,0,1,1,0,1,6,5,2,8,3,6,2,4,0,4,5,1,3,0,5,2,3,0,1,1,71
5/12/2026,1,2,0,1,0,1,0,0,0,1,3,2,5,4,2,2,0,2,3,2,0,1,1,0,0,1,0,0,0,34
