date,Boxtel,Rijswijk,Groningen,Venlo,Roermond,Sittard,Heerlen,Bergen op Zoom,Goes,Hellevoetsluis,Tilburg,Breda,Den Haag,Utrecht,Barendrecht,Helmond,Heerlen Heerlerbaan,Rotterdam Centrum,Schiedam,Rotterdam Zuid,Alphen aan den Rijn,Alkmaar,Amsterdam,Almere,Helmond kanaaldijk,Lelystad,Eindhoven Best,Den Bosch,Nijmegen Wijchen,Company,total
2026-03-24,1,0,1,0,1,0,4,0,0,0,4,2,7,1,2,1,0,6,2,1,2,0,0,0,0,0,0,1,0,1,37
2026-03-25,0,2,0,0,0,0,1,0,0,0,2,1,2,0,0,3,0,3,3,1,2,0,0,0,0,2,0,1,0,3,26
2026-03-26,1,1,0,1,1,2,1,0,0,1,1,4,9,0,0,2,0,6,2,3,4,2,0,0,1,3,0,2,2,7,56
2026-03-27,2,2,1,1,0,1,0,1,2,1,6,0,7,1,8,1,1,4,4,2,4,1,3,0,0,0,0,1,0,7,61
2026-03-28,0,2,3,1,1,0,1,0,0,1,3,1,2,0,1,2,1,2,5,0,0,0,0,0,5,1,0,2,1,10,45
2026-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-30,0,4,4,0,2,5,1,0,2,3,7,4,9,9,6,1,2,17,7,11,2,0,4,2,3,1,2,4,1,18,131
2026-03-31,0,2,2,0,0,1,3,0,1,7,9,2,7,7,3,6,3,17,5,1,0,4,4,2,5,0,2,10,2,25,130
2026-04-01,0,5,6,4,0,3,1,0,0,4,17,2,13,6,1,2,0,5,14,2,0,0,1,0,4,4,0,4,4,16,118
2026-04-02,0,2,5,2,0,1,2,0,0,2,7,7,6,12,5,3,0,7,11,1,5,2,2,1,1,0,1,6,0,10,101
2026-04-03,0,0,1,1,0,0,0,2,0,1,5,2,7,4,7,1,1,3,8,1,1,0,3,0,0,1,0,1,0,4,54
2026-04-04,0,1,0,0,0,0,0,0,0,0,1,1,5,1,3,0,0,6,6,4,0,0,0,0,0,0,0,0,0,5,33
2026-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-06,0,0,2,0,0,0,1,0,0,0,1,0,4,1,1,0,0,2,3,5,0,0,4,0,1,0,0,0,0,6,31
2026-04-07,2,1,1,0,2,4,2,0,2,3,3,5,4,8,2,7,1,9,3,7,0,0,5,0,1,1,1,3,2,13,92
2026-04-08,0,3,2,0,1,4,0,0,0,0,3,0,3,0,4,2,1,4,1,5,2,0,2,0,0,2,1,3,2,10,55
2026-04-09,1,1,0,1,0,1,1,0,0,6,3,1,4,2,1,0,1,4,1,4,0,3,3,0,0,0,0,3,0,4,45
2026-04-10,0,6,1,0,0,0,1,0,0,0,4,0,3,4,2,0,0,3,1,3,2,1,1,0,1,0,0,3,0,3,39
2026-04-11,0,1,0,2,2,5,1,1,3,0,6,3,2,2,0,0,0,4,1,3,0,0,0,0,0,1,0,2,0,3,42
2026-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-13,0,6,5,0,0,2,1,0,3,0,9,4,1,4,3,0,2,17,2,1,5,0,3,1,4,0,1,2,2,16,94
2026-04-14,3,1,0,4,1,0,2,0,1,1,3,1,3,3,0,1,0,6,1,1,2,0,5,2,0,2,0,1,2,14,60
2026-04-15,0,5,1,0,1,6,0,0,1,2,1,3,7,6,2,0,0,7,1,3,2,1,7,0,0,0,0,3,0,4,63
2026-04-16,0,0,3,0,0,1,0,0,0,1,5,1,1,6,1,4,0,6,0,3,2,0,3,1,1,0,0,0,1,4,44
2026-04-17,2,0,2,0,2,3,0,0,0,1,4,0,4,0,1,0,2,5,0,3,1,0,6,0,1,3,0,0,0,7,47
2026-04-18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,7
2026-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-20,0,0,1,1,0,1,0,0,0,0,2,1,0,2,1,0,0,1,2,4,2,0,4,1,0,0,0,0,0,1,24
2026-04-21,0,1,0,0,0,1,4,1,0,1,0,1,4,0,2,0,0,7,4,3,0,1,2,0,0,0,0,0,1,6,39
2026-04-22,0,1,1,0,0,1,1,0,0,1,2,1,4,0,0,0,0,5,2,1,2,1,2,0,0,0,0,0,0,4,29
2026-04-23,0,0,0,1,1,2,1,1,0,2,0,1,1,4,0,2,1,2,0,0,2,1,2,0,1,0,0,1,0,6,32
